iter	Passed	Remaining
1347	222638	16293547
1348	222803	16293397
1349	222966	16293054
1350	223135	16293213
1351	223345	16296295
1352	223538	16298152
1353	223714	16298773
1354	223858	16297086
1355	224008	16295817
1356	224178	16295976
1357	224353	16296548
1358	224538	16297808
1359	224669	16295171
1360	224848	16296000
1361	225020	16296302
1362	225172	16295209
1363	225327	16294265
1364	225472	16292639
1365	225664	16294463
1366	225815	16293249
1367	225962	16291779
1368	226168	16294536
1369	226333	16294390
1370	226491	16293678
1371	226632	16291789
1372	226822	16293385
1373	226974	16292277
1374	227111	16290077
1375	227303	16291841
1376	227425	16288579
1377	227590	16288445
1378	227771	16289389
1379	227945	16289843
1380	228102	16289087
1381	228306	16291667
1382	228457	16290547
1383	228678	16294304
1384	228861	16295444
1385	229002	16293516
1386	229217	16296952
1387	229390	16297307
1388	229544	16296344
1389	229760	16299804
1390	229912	16298667
1391	230072	16298159
1392	230210	16296024
1393	230366	16295196
1394	230531	16295020
1395	230679	16293605
1396	230854	16294187
1397	231013	16293591
1398	231228	16296868
1399	231379	16295726
1400	231549	16295895
1401	231705	16295083
1402	231847	16293269
1403	232016	16293370
1404	232169	16292322
1405	232342	16292752
1406	232498	16291917
1407	232708	16294918
1408	232851	16293169
1409	232990	16291143
1410	233143	16290146
1411	233320	16290798
1412	233488	16290848
1413	233701	16294004
1414	233863	16293623
1415	234032	16293681
1416	234195	16293354
1417	234346	16292198
1418	234535	16293695
1419	234683	16292315
1420	234885	16294686
1421	235062	16295343
1422	235229	16295332
1423	235376	16293847
1424	235549	16294210
1425	235718	16294314
1426	235881	16294032
1427	236054	16294405
1428	236185	16291828
1429	236324	16289877
1430	236458	16287536
1431	236612	16286635
1432	236787	16287112
1433	236933	16285655
1434	237110	16286286
1435	237270	16285758
1436	237427	16285048
1437	237591	16284750
1438	237757	16284630
1439	237908	16283512
1440	238146	16288345
1441	238298	16287263
1442	238476	16287951
1443	238643	16287917
1444	238823	16288738
1445	239000	16289415
1446	239156	16288616
1447	239297	16286744
1448	239459	16286386
1449	239598	16284456
1450	239741	16282767
1451	239908	16282747
1452	240094	16283939
1453	240223	16281308
1454	240371	16279974
1455	240520	16278777
1456	240684	16278470
1457	240834	16277286
1458	240994	16276771
1459	241141	16275394
1460	241315	16275817
1461	241463	16274512
1462	241680	16277819
1463	241845	16277631
1464	242012	16277586
1465	242154	16275881
1466	242297	16274231
1467	242460	16273942
1468	242645	16275074
1469	242791	16273669
1470	242941	16272476
1471	243087	16271015
1472	243255	16271042
1473	243414	16270447
1474	243552	16268514
1475	243744	16270132
1476	243901	16269399
1477	244046	16267869
1478	244220	16268317
1479	244358	16266382
1480	244539	16267259
1481	244688	16265999
1482	244876	16267371
1483	245021	16265856
1484	245219	16267882
1485	245394	16268368
1486	245547	16267369
1487	245715	16267394
1488	245922	16270033
1489	246097	16270526
1490	246244	16269115
1491	246411	16269081
1492	246591	16269895
1493	246723	16267571
